Energy,Muscle,Fat,Skin,Adipose,,Bone (1/cm),Muscle (1/cm),Fat (1/cm),Skin (1/cm),Soft Tissue (1/cm),Adipose Tissue (1/cm)
20,0.82181104,0.47811124,0.78769151,0.54289504,,7.49421125,0.86290159,0.45420568,0.85858374,0.87368609,0.51575028
25,0.51743283,0.33973617,0.49963008,0.37331769,,4.04139871,0.54330447,0.32274936,0.54459678,0.54963935,0.35465180
30,0.37991892,0.27542395,0.36935244,0.29529120,,2.50018880,0.39891486,0.26165276,0.40259416,0.40338475,0.28052664
35,0.30827712,0.24198647,0.30144255,0.25466049,,1.70795910,0.32369098,0.22988714,0.32857238,0.32722432,0.24192747
40,0.26770108,0.22359372,0.26298787,0.23206938,,1.25728575,0.28108613,0.21241403,0.28665677,0.28405390,0.22046591
45,0.24320284,0.21190927,0.23975548,0.21799235,,0.98164255,0.25536298,0.20131380,0.26133348,0.25800387,0.20709273
50,0.22648214,0.20297749,0.22381530,0.20762396,,0.80508696,0.23780625,0.19282862,0.24395868,0.24021857,0.19724276
55,0.21541674,0.19602966,0.21320898,0.19994955,,0.68680212,0.22618758,0.18622818,0.23239778,0.22844533,0.18995207
60,0.20646924,0.19022238,0.20459447,0.19357040,,0.60273576,0.21679270,0.18071126,0.22300797,0.21892730,0.18389188
65,0.19911016,0.18526224,0.19747291,0.18816801,,0.54142428,0.20906567,0.17599913,0.21524547,0.21111462,0.17875961
70,0.19289112,0.18095399,0.19143652,0.18349327,,0.49461105,0.20253568,0.17190629,0.20866581,0.20451520,0.17431861
75,0.18755583,0.17717920,0.18625238,0.17941975,,0.45798127,0.19693362,0.16832024,0.20301510,0.19884168,0.17044876
80,0.18291556,0.17379811,0.18173777,0.17579540,,0.42871210,0.19206134,0.16510820,0.19809417,0.19391011,0.16700563
85,0.17883179,0.17076697,0.17775458,0.17255354,,0.40491678,0.18777338,0.16222862,0.19375249,0.18958262,0.16392586
90,0.17519883,0.16799296,0.17420938,0.16961576,,0.38525889,0.18395877,0.15959331,0.18988822,0.18572848,0.16113497
95,0.17196503,0.16546701,0.17103426,0.16695697,,0.36883940,0.18056328,0.15719366,0.18642735,0.18227724,0.15860913
100,0.16902661,0.16313311,0.16817067,0.16449877,,0.35494574,0.17747794,0.15497645,0.18330603,0.17917062,0.15627384
